class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,spore-print-color,population,habitat
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,black,scattered,urban
edible,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,brown,numerous,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,black,scattered,urban
edible,convex,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,brown,abundant,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,black,numerous,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,black,numerous,meadows
edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,brown,scattered,meadows
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,black,several,grasses
edible,bell,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,black,scattered,meadows
edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,brown,numerous,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,black,scattered,meadows
edible,bell,smooth,yellow,bruises,almond,free,close,broad,white,enlarging,club,brown,scattered,grasses
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,brown,several,urban
edible,convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,black,abundant,grasses
edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,brown,solitary,urban
edible,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,brown,abundant,grasses
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,black,scattered,grasses
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,brown,scattered,urban
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,brown,scattered,urban
edible,bell,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,brown,scattered,meadows
poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,brown,several,grasses
edible,bell,scaly,yellow,bruises,anise,free,close,broad,black,enlarging,club,brown,scattered,meadows
edible,bell,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,brown,numerous,meadows
edible,bell,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,black,scattered,meadows
poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,brown,several,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,brown,numerous,meadows
edible,convex,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,brown,numerous,meadows
edible,flat,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,black,solitary,urban
edible,convex,smooth,yellow,bruises,almond,free,crowded,narrow,brown,tapering,bulbous,brown,several,woods
edible,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,brown,scattered,urban
edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,brown,numerous,meadows
edible,convex,scaly,brown,bruises,anise,free,close,broad,pink,enlarging,rooted,brown,solitary,paths
edible,bell,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,brown,scattered,meadows
edible,convex,fibrous,yellow,bruises,anise,free,crowded,narrow,white,tapering,bulbous,brown,several,woods
edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,black,several,urban
poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,brown,scattered,urban
edible,convex,fibrous,yellow,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,brown,several,woods
edible,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,black,scattered,meadows
edible,bell,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,black,solitary,paths
edible,convex,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,black,solitary,urban
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,brown,several,grasses
edible,convex,smooth,yellow,bruises,almond,free,close,broad,white,enlarging,club,black,numerous,meadows
edible,convex,scaly,white,bruises,almond,free,close,broad,brown,enlarging,club,brown,numerous,grasses
