class,cap-shape,cap-surface,cap-color,odor,spore-print-color,population,,,,
poisonous,convex,smooth,brown,pungent,black,scattered,,,,
edible,convex,smooth,yellow,almond,brown,numerous,,,,
edible,bell,smooth,white,anise,brown,numerous,,,,
poisonous,convex,scaly,white,pungent,black,scattered,,,,
edible,convex,smooth,gray,none,brown,abundant,,,,
edible,convex,scaly,yellow,almond,black,numerous,,,,
edible,bell,smooth,white,almond,black,numerous,,,,
edible,bell,scaly,white,anise,brown,scattered,,,,
poisonous,convex,scaly,white,pungent,black,several,,,,
edible,bell,smooth,yellow,almond,black,scattered,,,,
edible,convex,scaly,yellow,anise,brown,numerous,,,,
edible,convex,scaly,yellow,almond,black,scattered,,,,
edible,bell,smooth,yellow,almond,brown,scattered,,,,
poisonous,convex,scaly,white,pungent,brown,several,,,,
edible,convex,fibrous,brown,none,black,abundant,,,,
edible,sunken,fibrous,gray,none,brown,solitary,,,,
edible,flat,fibrous,white,none,brown,abundant,,,,
poisonous,convex,smooth,brown,pungent,black,scattered,,,,
poisonous,convex,scaly,white,pungent,brown,scattered,,,,
poisonous,convex,smooth,brown,pungent,brown,scattered,,,,
edible,bell,smooth,yellow,almond,brown,scattered,,,,
poisonous,convex,scaly,brown,pungent,brown,several,,,,
edible,bell,scaly,yellow,anise,brown,scattered,,,,
edible,bell,scaly,white,almond,brown,numerous,,,,
edible,bell,smooth,white,anise,black,scattered,,,,
poisonous,flat,smooth,white,pungent,brown,several,,,,
edible,convex,scaly,yellow,almond,brown,numerous,,,,
edible,convex,scaly,white,anise,brown,numerous,,,,
edible,flat,fibrous,brown,none,black,solitary,,,,
edible,convex,smooth,yellow,almond,brown,several,,,,
edible,bell,smooth,yellow,anise,brown,numerous,,,,
poisonous,convex,scaly,white,pungent,brown,scattered,,,,
edible,convex,scaly,yellow,anise,brown,numerous,,,,
edible,convex,scaly,brown,anise,brown,solitary,,,,
edible,bell,scaly,yellow,anise,brown,scattered,,,,
edible,convex,fibrous,yellow,anise,brown,several,,,,
edible,sunken,fibrous,gray,none,black,several,,,,
poisonous,convex,scaly,brown,pungent,brown,scattered,,,,
edible,convex,fibrous,yellow,almond,brown,several,,,,
edible,bell,smooth,yellow,anise,black,scattered,,,,
edible,bell,scaly,yellow,almond,brown,scattered,,,,
edible,convex,scaly,yellow,anise,black,solitary,,,,
edible,convex,fibrous,brown,none,black,solitary,,,,
poisonous,convex,scaly,white,pungent,brown,several,,,,
edible,convex,smooth,yellow,almond,black,numerous,,,,
edible,convex,scaly,white,almond,brown,numerous,,,,
edible,convex,scaly,yellow,anise,black,scattered,,,,
edible,convex,smooth,white,anise,brown,numerous,,,,
edible,convex,scaly,yellow,anise,brown,scattered,,,,
edible,flat,scaly,yellow,anise,black,scattered,,,,
