class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,spore-print-color,population,habitat
p,x,s,n,t,p,f,c,n,k,e,e,k,s,u
e,x,s,y,t,a,f,c,b,k,e,c,n,n,g
e,b,s,w,t,l,f,c,b,n,e,c,n,n,m
p,x,y,w,t,p,f,c,n,n,e,e,k,s,u
e,x,s,g,f,n,f,w,b,k,t,e,n,a,g
e,x,y,y,t,a,f,c,b,n,e,c,k,n,g
e,b,s,w,t,a,f,c,b,g,e,c,k,n,m
e,b,y,w,t,l,f,c,b,n,e,c,n,s,m
p,x,y,w,t,p,f,c,n,p,e,e,k,v,g
e,b,s,y,t,a,f,c,b,g,e,c,k,s,m
e,x,y,y,t,l,f,c,b,g,e,c,n,n,g
e,x,y,y,t,a,f,c,b,n,e,c,k,s,m
e,b,s,y,t,a,f,c,b,w,e,c,n,s,g
p,x,y,w,t,p,f,c,n,k,e,e,n,v,u
e,x,f,n,f,n,f,w,b,n,t,e,k,a,g
e,s,f,g,f,n,f,c,n,k,e,e,n,y,u
e,f,f,w,f,n,f,w,b,k,t,e,n,a,g
p,x,s,n,t,p,f,c,n,n,e,e,k,s,g
p,x,y,w,t,p,f,c,n,n,e,e,n,s,u
p,x,s,n,t,p,f,c,n,k,e,e,n,s,u
e,b,s,y,t,a,f,c,b,k,e,c,n,s,m
p,x,y,n,t,p,f,c,n,n,e,e,n,v,g
e,b,y,y,t,l,f,c,b,k,e,c,n,s,m
e,b,y,w,t,a,f,c,b,w,e,c,n,n,m
e,b,s,w,t,l,f,c,b,g,e,c,k,s,m
p,f,s,w,t,p,f,c,n,n,e,e,n,v,g
e,x,y,y,t,a,f,c,b,n,e,c,n,n,m
e,x,y,w,t,l,f,c,b,w,e,c,n,n,m
e,f,f,n,f,n,f,c,n,k,e,e,k,y,u
e,x,s,y,t,a,f,w,n,n,t,b,n,v,d
e,b,s,y,t,l,f,c,b,g,e,c,n,n,m
p,x,y,w,t,p,f,c,n,k,e,e,n,s,u
e,x,y,y,t,l,f,c,b,n,e,c,n,n,m
e,x,y,n,t,l,f,c,b,p,e,r,n,y,p
e,b,y,y,t,l,f,c,b,n,e,c,n,s,m
e,x,f,y,t,l,f,w,n,w,t,b,n,v,d
e,s,f,g,f,n,f,c,n,k,e,e,k,v,u
p,x,y,n,t,p,f,c,n,w,e,e,n,s,u
e,x,f,y,t,a,f,w,n,p,t,b,n,v,d
e,b,s,y,t,l,f,c,b,k,e,c,k,s,m
e,b,y,y,t,a,f,c,b,n,e,c,n,s,g
e,x,y,y,t,l,f,c,b,n,e,r,k,y,p
e,x,f,n,f,n,f,c,n,g,e,e,k,y,u
p,x,y,w,t,p,f,c,n,p,e,e,n,v,g
e,x,s,y,t,a,f,c,b,w,e,c,k,n,m
e,x,y,w,t,a,f,c,b,n,e,c,n,n,g
e,x,y,y,t,l,f,c,b,k,e,c,k,s,m
e,x,s,w,t,l,f,c,b,w,e,c,n,n,m
e,x,y,y,t,l,f,c,b,n,e,r,n,s,p
e,f,y,y,t,l,f,c,b,w,e,r,k,s,p
e,x,y,n,t,a,f,c,b,w,e,r,k,s,g
e,x,s,w,t,l,f,c,b,k,e,c,k,s,g
e,b,s,w,t,l,f,c,b,k,e,c,n,n,m
p,x,y,n,t,p,f,c,n,k,e,e,n,v,u
p,x,s,w,t,p,f,c,n,k,e,e,k,v,u
e,b,y,y,t,a,f,c,b,w,e,c,k,s,m
e,f,f,g,f,n,f,w,b,n,t,e,n,a,g
e,b,s,w,t,a,f,c,b,w,e,c,n,n,g
e,x,s,y,t,l,f,c,b,k,e,c,k,n,g
e,x,y,n,t,a,f,c,b,p,e,r,k,y,p
e,s,f,g,f,n,f,c,n,k,e,e,n,v,u
e,b,y,y,t,a,f,c,b,k,e,c,n,s,m
e,b,s,y,t,l,f,c,b,g,e,c,n,s,m
e,b,y,y,t,l,f,c,b,g,e,c,n,n,m
e,b,y,w,t,l,f,c,b,n,e,c,n,s,g
e,f,s,n,f,n,f,w,b,k,t,e,k,a,g
e,x,s,w,t,l,f,c,b,n,e,c,k,s,g
e,f,y,y,t,a,f,c,b,w,e,r,n,s,g
e,x,y,y,t,a,f,c,b,w,e,c,k,n,g
e,x,f,g,f,n,f,c,n,p,e,e,n,v,u
e,f,f,y,t,l,f,w,n,p,t,b,n,v,d
e,b,y,w,t,l,f,c,b,g,e,c,n,s,m
e,f,f,y,t,l,f,w,n,w,t,b,n,v,d
e,x,y,n,t,a,f,c,b,p,e,r,k,s,p
e,b,s,y,t,a,f,c,b,k,e,c,k,s,g
e,f,s,y,t,l,f,w,n,p,t,b,n,v,d
e,x,s,w,t,l,f,w,n,n,t,b,u,v,d
e,f,y,n,t,l,f,c,b,p,e,r,n,y,p
p,x,y,n,t,p,f,c,n,w,e,e,n,v,u
e,f,y,n,t,a,f,c,b,n,e,r,n,y,g
e,x,s,n,f,n,f,w,b,k,t,e,n,s,g
p,x,y,w,t,p,f,c,n,w,e,e,k,s,g
e,f,f,g,f,n,f,c,n,n,e,e,n,y,u
e,x,f,g,f,n,f,w,b,n,t,e,n,s,g
e,x,y,y,t,l,f,c,b,w,e,r,k,s,g
e,x,s,n,f,n,f,w,b,k,t,e,k,s,g
e,b,s,w,t,a,f,c,b,w,e,c,k,s,g
e,x,s,w,t,l,f,c,b,n,e,c,n,s,g
e,f,y,n,t,l,f,c,b,w,e,r,k,y,g
e,s,f,n,f,n,f,c,n,n,e,e,n,v,u
e,x,f,n,f,n,f,c,n,n,e,e,n,y,u
e,b,s,w,t,l,f,c,b,k,e,c,k,s,g
e,x,y,y,t,a,f,c,b,g,e,c,k,s,g
e,x,y,y,t,l,f,c,b,g,e,c,k,n,m
e,x,s,n,f,n,f,w,b,n,t,e,n,a,g
e,x,s,w,t,a,f,c,b,g,e,c,n,s,g
e,f,y,n,t,l,f,c,b,p,e,r,n,s,g
e,x,s,y,t,a,f,c,b,n,e,c,k,n,g
e,b,s,w,t,a,f,c,b,g,e,c,n,s,g
e,x,y,w,t,a,f,c,b,g,e,c,k,s,g
e,x,f,n,f,n,f,w,b,p,t,e,k,s,g
e,b,s,y,t,l,f,c,b,n,e,c,k,n,g
e,f,y,y,t,l,f,c,b,w,e,r,n,s,g
e,x,y,y,t,a,f,c,b,n,e,r,k,y,p
e,b,y,w,t,l,f,c,b,g,e,c,n,n,g
e,x,y,y,t,a,f,c,b,n,e,c,k,n,m
e,x,y,y,t,a,f,c,b,w,e,r,n,y,g
